2,30.83,0.0,2,1,13,8,1.25,1,1,1,0,0,00202,0,0
1,58.67,4.46,2,1,11,4,3.04,1,1,6,0,0,00043,560,0
1,24.50,0.5,2,1,11,4,1.5,1,0,0,0,0,00280,824,0
2,27.83,1.54,2,1,13,8,3.75,1,1,5,1,0,00100,3,0
2,20.17,5.625,2,1,13,8,1.71,1,0,0,0,2,00120,0,0
2,32.08,4.0,2,1,10,8,2.5,1,0,0,1,0,00360,0,0
2,33.17,1.04,2,1,12,4,6.5,1,0,0,1,0,00164,31285,0
1,22.92,11.585,2,1,3,8,0.04,1,0,0,0,0,00080,1349,0
2,54.42,0.5,3,3,9,4,3.96,1,0,0,0,0,00180,314,0
2,42.50,4.915,3,3,13,8,3.165,1,0,0,1,0,00052,1442,0
2,22.08,0.83,2,1,2,4,2.165,0,0,0,1,0,00128,0,0
2,29.92,1.835,2,1,2,4,4.335,1,0,0,0,0,00260,200,0
1,38.25,6.0,2,1,9,8,1.0,1,0,0,1,0,00000,0,0
2,48.08,6.04,2,1,9,8,0.04,0,0,0,0,0,00000,2690,0
1,45.83,10.5,2,1,11,8,5.0,1,1,7,1,0,00000,0,0
2,36.67,4.415,3,3,9,8,0.25,1,1,10,1,0,00320,0,0
2,28.25,0.875,2,1,10,8,0.96,1,1,3,1,0,00396,0,0
1,23.25,5.875,2,1,11,8,3.17,1,1,10,0,0,00120,245,0
2,21.83,0.25,2,1,4,4,0.665,1,0,0,1,0,00000,0,0
1,19.17,8.585,2,1,3,4,0.75,1,1,7,0,0,00096,0,0
2,25.00,11.25,2,1,2,8,2.5,1,1,17,0,0,00200,1208,0
2,23.25,1.0,2,1,2,8,0.835,1,0,0,0,2,00300,0,0
1,47.75,8.0,2,1,2,8,7.875,1,1,6,1,0,00000,1260,0
1,27.42,14.5,2,1,14,4,3.085,1,1,1,0,0,00120,11,0
1,41.17,6.5,2,1,11,8,0.5,1,1,3,1,0,00145,0,0
1,15.83,0.585,2,1,2,4,1.5,1,1,2,0,0,00100,0,0
1,47.00,13.0,2,1,7,1,5.165,1,1,9,1,0,00000,0,0
2,56.58,18.5,2,1,4,1,15.0,1,1,17,1,0,00000,0,0
2,57.42,8.5,2,1,5,4,7.0,1,1,3,0,0,00000,0,0
2,42.08,1.04,2,1,13,8,5.0,1,1,6,1,0,00500,10000,0
2,29.25,14.79,2,1,1,8,5.04,1,1,5,1,0,00168,0,0
2,42.00,9.79,2,1,14,4,7.96,1,1,8,0,0,00000,0,0
2,49.50,7.585,2,1,7,1,7.585,1,1,15,1,0,00000,5000,0
1,36.75,5.125,2,1,5,8,5.0,1,0,0,1,0,00000,4000,0
1,22.58,10.75,2,1,11,8,0.415,1,1,5,1,0,00000,560,0
2,27.83,1.5,2,1,13,8,2.0,1,1,11,1,0,00434,35,0
2,27.25,1.585,2,1,3,4,1.835,1,1,12,1,0,00583,713,0
1,23.00,11.75,2,1,14,4,0.5,1,1,2,1,0,00300,551,0
2,27.75,0.585,3,3,3,8,0.25,1,1,2,0,0,00260,500,0
2,54.58,9.415,2,1,6,3,14.415,1,1,11,1,0,00030,300,0
2,34.17,9.17,2,1,2,8,4.5,1,1,12,1,0,00000,221,0
2,28.92,15.0,2,1,2,4,5.335,1,1,11,0,0,00000,2283,0
2,29.67,1.415,2,1,13,4,0.75,1,1,1,0,0,00240,100,0
2,39.58,13.915,2,1,13,8,8.625,1,1,6,1,0,00070,0,0
2,56.42,28.0,3,3,2,8,28.5,1,1,40,0,0,00000,15,0
2,54.33,6.75,2,1,2,4,2.625,1,1,11,1,0,00000,284,0
1,41.00,2.04,3,3,11,4,0.125,1,1,23,1,0,00455,1236,0
2,31.92,4.46,2,1,3,4,6.04,1,1,3,0,0,00311,300,0
2,41.50,1.54,2,1,7,1,3.5,0,0,0,0,0,00216,0,0
2,23.92,0.665,2,1,2,8,0.165,0,0,0,0,0,00100,0,0
1,25.75,0.5,2,1,2,4,0.875,1,0,0,1,0,00491,0,0
2,26.00,1.0,2,1,11,8,1.75,1,0,0,1,0,00280,0,0
2,37.42,2.04,2,1,13,8,0.04,1,0,0,1,0,00400,5800,0
2,34.92,2.5,2,1,13,8,0.0,1,0,0,1,0,00239,200,0
2,34.25,3.0,2,1,3,4,7.415,1,0,0,1,0,00000,0,0
2,23.33,11.625,3,3,13,8,0.835,1,0,0,1,0,00160,300,0
2,23.17,0.0,2,1,3,8,0.085,1,0,0,0,0,00000,0,0
2,44.33,0.5,2,1,7,4,5.0,1,0,0,1,0,00320,0,0
2,35.17,4.5,2,1,14,4,5.75,0,0,0,1,2,00711,0,0
2,43.25,3.0,2,1,11,4,6.0,1,1,11,0,0,00080,0,0
2,56.75,12.25,2,1,10,8,1.25,1,1,4,1,0,00200,0,0
2,31.67,16.165,2,1,4,8,3.0,1,1,9,0,0,00250,730,0
1,23.42,0.79,3,3,11,8,1.5,1,1,2,1,0,00080,400,0
1,20.42,0.835,2,1,11,8,1.585,1,1,1,0,0,00000,0,0
2,26.67,4.25,2,1,3,8,4.29,1,1,1,1,0,00120,0,0
2,34.17,1.54,2,1,3,8,1.54,1,1,1,1,0,00520,50000,0
1,36.00,1.0,2,1,2,8,2.0,1,1,11,0,0,00000,456,0
2,25.50,0.375,2,1,10,8,0.25,1,1,3,0,0,00260,15108,0
2,19.42,6.5,2,1,13,4,1.46,1,1,7,0,0,00080,2954,0
2,35.17,25.125,2,1,14,4,1.625,1,1,1,1,0,00515,500,0
2,32.33,7.5,2,1,5,1,1.585,1,0,0,1,2,00420,0,1
2,34.83,4.0,2,1,4,1,12.5,1,0,0,1,0,-1,0,1
1,38.58,5.0,2,1,3,8,13.5,1,0,0,1,0,00980,0,1
2,44.25,0.5,2,1,10,8,10.75,1,0,0,0,2,00400,0,1
2,44.83,7.0,3,3,2,8,1.625,0,0,0,0,0,00160,2,1
2,20.67,5.29,2,1,11,8,0.375,1,1,1,0,0,00160,0,1
2,34.08,6.5,2,1,1,8,0.125,1,0,0,1,0,00443,0,1
1,19.17,0.585,3,3,1,8,0.585,1,0,0,1,0,00160,0,1
2,21.67,1.165,3,3,9,8,2.5,1,1,1,0,0,00180,20,1
2,21.50,9.75,2,1,2,8,0.25,1,0,0,0,0,00140,0,1
2,49.58,19.0,2,1,6,3,0.0,1,1,1,0,0,00094,0,1
1,27.67,1.5,2,1,10,8,2.0,1,0,0,0,2,00368,0,1
2,39.83,0.5,2,1,10,8,0.25,1,0,0,0,2,00288,0,1
1,-1,3.5,2,1,4,8,3.0,1,0,0,1,0,00300,0,1
2,27.25,0.625,2,1,1,8,0.455,1,0,0,1,0,00200,0,1
2,37.17,4.0,2,1,2,1,5.0,1,0,0,1,2,00280,0,1
2,-1,0.375,2,1,4,8,0.875,1,0,0,1,2,00928,0,1
